# Add any new events at the bottom of the list...

Feb 1 1pm, Business Eng Econ Exam, In-person, Yes, All, Starts 1pm
Feb 7, Business Group Formation, In-person, No, All, -
Feb 12, Business Team Commitments, In-person, No, All, -
Mar 6 11:59pm, Business Organizational Behaviour Report, Online, Yes, All, Due 11:59pm

Feb 10 9pm, 1050 Peer Feedback #3, Online, No, All, Due 9pm
Feb 24 9pm, 1050 Individual Reflection #3, Online, No, All, Due 9pm

Jan 24 9am, Design Individual Project, Online, No, All, Due 9am
Feb 4 9pm, Design Team Project Report 1, Online, No, All, Due 9pm

### Physics ###

Feb 2 1pm, Physics II Midterm 1, In-person, Yes, All, Starts 1pm
Mar 8 10am, Physics II Midterm 2, In-person, Yes, All, Starts 10am
# TBD, Physics II Final, In-person, Yes, All, Starts TBD

Jan 16 9am, Physics II Assignment 1, Online, No, All, Due 9am
Jan 30 9am, Physics II Assignment 2, Online, No, All, Due 9am
Feb 13 9am, Physics II Assignment 3, Online, No, All, Due 9am
Mar 6 9am, Physics II Assignment 4, Online, No, All, Due 9am
Mar 20 9am, Physics II Assignment 5, Online, No, All, Due 9am
Apr 3 9am, Physics II Assignment 6, Online, No, All, Due 9am

Feb 1, Physics II Assignment 1 resubmission, Online, No, All, -
Feb 15, Physics II Assignment 2 resubmission, Online, No, All, -
Mar 1, Physics II Assignment 3 resubmission, Online, No, All, -
Mar 22, Physics II Assignment 4 resubmission, Online, No, All, -
Apr 8, Physics II Assignment 5 resubmission, Online, No, All, Likely subject to change
Apr 19, Physics II Assignment 6 resubmission, Online, No, All, Likely subject to change

Feb 2 11:55pm, Physics II Lab 1 Hand-in, Online, No, All, Due 11:55pm
Feb 24 11:55pm, Physics II Lab 2 Hand-in, Online, No, All, Due 11:55pm
Mar 9 11:55pm, Physics II Lab 3 Hand-in, Online, No, All, Due 11:55pm
Mar 23 11:55pm, Physics II Lab 4 Hand-in, Online, No, All, Due 11:55pm

# No physics tutorials or lab start dates will be listed.
# Since physics tutorial/labs run every week, this should already be part of a students “normal” schedule for the week and hopefully does not need any reminders

### Calculus II ###

Jan 19 11pm, Calc II Quiz 1, Online, No, All, Due 11pm
Feb 4 11pm, Calc II Quiz 2, Online, No, All, Due 11pm
Mar 9 11pm, Calc II Quiz 3, Online, No, All, Due 11pm
Mar 23 11pm, Calc II Quiz 4, Online, No, All, Due 11pm

Feb 28 7pm, Calc II Midterm, In-person, Yes, All, Starts 7pm
# TBD, Calc II Final, In-person, Yes, All, Starts TBD

### Linear Algebra ###

Jan 20 11:59pm, Lin Alg Quiz 1, Online, No, cohortB, Due 11:59pm
Feb 3 11:59pm, Lin Alg Quiz 2, Online, No, cohortB, Due 11:59pm
Feb 27 11:59pm, Lin Alg Quiz 3, Online, No, cohortB, Due 11:59pm
Mar 3 11:59pm, Lin Alg Quiz 4, Online, No, cohortB, Due 11:59pm
Mar 17 11:59pm, Lin Alg Quiz 5, Online, No, cohortB, Due 11:59pm

Jan 30, Lin Alg Midterm 1, In-person, Yes, cohortB, Held sometime this week during tutorial session.
Feb 27, Lin Alg Midterm 2, In-person, Yes, cohortB, Held sometime this week during tutorial session.
Mar 17, Lin Alg Computer Lab Test, In-person, Yes, cohortB, Held sometime this week during tutorial session.

# TBD, Lin Alg Final, In-person, Yes, cohortB, TBD

### Programming ###

Jan 26 11:59pm, Programming Exercise 1, Online, No, cohortB, Due 11:59pm
